year,round,round_order,college_code,college_name,branch,category,closing_rank
2021,R1,1,E032,"CMR Institute of Technology, Bangalore",Artificial Intelligence and Data Science,GM,9781
2021,R1,1,E032,"CMR Institute of Technology, Bangalore",Artificial Intelligence and Data Science,HKR,35228
2021,R1,1,E032,"CMR Institute of Technology, Bangalore",Artificial Intelligence and Machine Learning,GM,9770
2021,R1,1,E032,"CMR Institute of Technology, Bangalore",Artificial Intelligence and Machine Learning,HKR,34977
2021,R1,1,E032,"CMR Institute of Technology, Bangalore",Civil Engineering,GM,41928
2021,R1,1,E032,"CMR Institute of Technology, Bangalore",Computer Science & Engineering,GM,6927
2021,R1,1,E032,"CMR Institute of Technology, Bangalore",Computer Science & Engineering,HKR,24985
2021,R1,1,E032,"CMR Institute of Technology, Bangalore",Electrical & Electronics Engineering,GM,24187
2021,R1,1,E032,"CMR Institute of Technology, Bangalore",Electronics & Communication Engineering,GM,15631
2021,R1,1,E032,"CMR Institute of Technology, Bangalore",Electronics & Communication Engineering,HKR,41003
2021,R1,1,E032,"CMR Institute of Technology, Bangalore",Information Science & Engineering,GM,8740
2021,R1,1,E032,"CMR Institute of Technology, Bangalore",Information Science & Engineering,HKR,27449
2021,R1,1,E032,"CMR Institute of Technology, Bangalore",Mechanical Engineering,GM,42998
2021,R1,1,E033,"Cambridge Institute of Technology, Bangalore",Artificial Intelligence and Machine Learning,GM,15820
2021,R1,1,E033,"Cambridge Institute of Technology, Bangalore",Computer Science & Engineering,GM,12347
2021,R1,1,E033,"Cambridge Institute of Technology, Bangalore",Electronics & Communication Engineering,GM,29903
2021,R1,1,E033,"Cambridge Institute of Technology, Bangalore",Information Science & Engineering,GM,17980
2021,R1,1,E035,"Channabasaveshwara Institute of Technology, Tumkur",Artificial Intelligence and Data Science,GM,36195
2021,R1,1,E035,"Channabasaveshwara Institute of Technology, Tumkur",Computer Science & Engineering,GM,43302
2021,R1,1,E035,"Channabasaveshwara Institute of Technology, Tumkur",Electrical & Electronics Engineering,GM,23340
2021,R1,1,E037,"City Engineering College, Bangalore",Artificial Intelligence and Machine Learning,GM,42325
2021,R1,1,E037,"City Engineering College, Bangalore",Computer Science & Engineering,GM,43783
2021,R1,1,E037,"City Engineering College, Bangalore",Information Science & Engineering,GM,33278
2021,R1,1,E038,Coorg Institute of Technology,Artificial Intelligence and Machine Learning,GM,27275
2021,R1,1,E038,Coorg Institute of Technology,Computer Science & Engineering,GM,19573
2021,R1,1,E039,"Dayananda Sagar Academy of Technology & Management,
Bangalore",Artificial Intelligence and Machine Learning,GM,12797
2021,R1,1,E039,"Dayananda Sagar Academy of Technology & Management,
Bangalore",Artificial Intelligence and Machine Learning,HKR,32579
