year,round_no,college_code,college_name,branch,category,closing_rank
2022,1,E175,Gopalan School of Architectrue and Planning,B.ARCH,GM,651.0
2022,1,E175,Gopalan School of Architectrue and Planning,B.ARCH,GM,
2022,1,E176,R V College of Architecture,B.ARCH,GM,125.0
2022,1,E176,R V College of Architecture,B.ARCH,GM,496.0
2022,1,E177,BGS School of Architecture & Planning,B.ARCH,GM,637.0
2022,1,E177,BGS School of Architecture & Planning,B.ARCH,GM,
2022,1,E178,Wadiyar Centre for Architecture,B.ARCH,GM,214.0
2022,1,E178,Wadiyar Centre for Architecture,B.ARCH,GM,701.0
2022,1,E185,Brindavan College of Architecture,B.ARCH,GM,761.0
2022,1,E185,Brindavan College of Architecture,B.ARCH,GM,
2022,1,E186,Nitte School of Architecture Planning and Design,B.ARCH,GM,505.0
2022,1,E186,Nitte School of Architecture Planning and Design,B.ARCH,GM,
2022,1,E187,CMR University,B.ARCH,GM,545.0
2022,1,E187,CMR University,B.ARCH,GM,
2022,1,E189,BMS College of Architecture,B.ARCH,GM,111.0
2022,1,E189,BMS College of Architecture,B.ARCH,GM,474.0
2022,1,E191,Sir M V School of Architecture,B.ARCH,GM,639.0
2022,1,E191,Sir M V School of Architecture,B.ARCH,GM,
2022,1,E193,Dayananda Sagar College of Architecture,B.ARCH,GM,332.0
2022,1,E193,Dayananda Sagar College of Architecture,B.ARCH,GM,848.0
2022,2,E002,"Acharya's NRV School of Architecture, Bangalore",B.ARCH,GM,847.0
2022,2,E008,Angadi School of Architecture,B.ARCH,GM,681.0
2022,2,E016,K.L.E. Technologiceal University (Formerly B.V. Bhoomaraddi College of Eng & Tech),B.ARCH,GM,854.0
2022,2,E029,"BMS School of Architecture, Bengaluru",B.ARCH,GM,659.0
2022,2,E039,"Dayananda Sagar Academy of Technology & Management, Bangalore",B.ARCH,GM,841.0
2022,2,E073,"KLS Gogte Institute of Technology, Belgaum",B.ARCH,GM,851.0
2022,2,E077,"M.S Ramaiah Institute of Technology, Bangalore",B.ARCH,GM,366.0
2022,2,E125,"Siddaganga Institute of Technology, Tumakuru",B.ARCH,GM,853.0
2022,2,E138,SRINIVAS INSTITUTE OF TECHNOLOGY,B.ARCH,GM,830.0
2022,2,E163,SJB School of Architecture & Planning,B.ARCH,GM,858.0
2022,2,E164,REVA University,B.ARCH,GM,849.0
2022,2,E168,Mysore School of Architecture,B.ARCH,GM,804.0
2022,2,E175,Gopalan School of Architectrue and Planning,B.ARCH,GM,856.0
2022,2,E176,R V College of Architecture,B.ARCH,GM,286.0
2022,2,E177,BGS School of Architecture And Planning,B.ARCH,GM,707.0
2022,2,E178,WADIYAR CENTRE FOR ARCHITECTURE,B.ARCH,GM,489.0
2022,2,E185,Brindavan College of Architecture,B.ARCH,GM,824.0
2022,2,E186,Nitte School of Architecture Planning and Design,B.ARCH,GM,850.0
2022,2,E187,CMR University,B.ARCH,GM,846.0
2022,2,E189,BMS College of Architecture,B.ARCH,GM,258.0
2022,2,E191,Sir M V School of Architecture,B.ARCH,GM,857.0
2022,2,E193,Dayananda Sagar College of Architecture,B.ARCH,GM,756.0
2022,2,E176,R V College of Architecture,B.ARCH,GM,832.0
2022,2,E189,BMS College of Architecture,B.ARCH,GM,482.0
2022,3,E029,"BMS School of Architecture, Bengaluru",B.ARCH,GM,806.0
2022,3,E077,"M.S Ramaiah Institute of Technology, Bangalore",B.ARCH,GM,828.0
2022,3,E163,SJB School of Architecture & Planning,B.ARCH,GM,706.0
2022,3,E164,REVA University,B.ARCH,GM,263.0
2022,3,E176,R V College of Architecture,B.ARCH,GM,463.0
2022,3,E178,WADIYAR CENTRE FOR ARCHITECTURE,B.ARCH,GM,813.0
2022,3,E189,BMS College of Architecture,B.ARCH,GM,378.0
2022,3,E193,Dayananda Sagar College of Architecture,B.ARCH,GM,842.0
2023,1,E002,Acharya's NRV School of Architecture,B.ARCH,GM,675.0
2023,1,E016,K.L.E. Technologiceal University (Formerly B.V. Bhoomaraddi College of Eng & Tech),B.ARCH,GM,643.0
2023,1,E026,BLDEA's V.P. Dr. PG Halkatti College of Engineering & Technology,B.ARCH,GM,409.0
2023,1,E029,BMS School of Architecture,B.ARCH,GM,348.0
2023,1,E039,Dayananda Sagar Academy of Technology & Management,B.ARCH,GM,634.0
2023,1,E054,GSSS School of Architecture for Women,B.ARCH,GM,460.0
2023,1,E057,JSS Institute of Architecture and Planning,B.ARCH,GM,561.0
2023,1,E073,KLS Gogte Institute of Technology,B.ARCH,GM,655.0
2023,1,E077,M.S Ramaiah Institute of Technology,B.ARCH,GM,232.0
