College Name,College Code,Location,Course,Course Code,Seat Category,Closing_Rank,Predicted_Closing_Rank
"BMS Institute of Technology and Management-Yelahanka, Bengaluru",Unknown,Unknown,AI-Artificial Intelligence & Machine Learning,AI,GM,98837,66071
"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",E040,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,68618,65122
"Jawaharlal Nehru New College of Engineering JNNCE-Swalanga Road, Shivamogga",Unknown,Unknown,AI-Artificial Intelligence & Machine Learning,AI,GM,103564,63915
JSS Science and Technology University-Mysuru,Unknown,Unknown,AI-Artificial Intelligence & Machine Learning,AI,GM,81346,64173
"KLS Gogte Institute of Technology-Udyambag, Belagavi",E073,BELAGAVI,AI-Artificial Intelligence & Machine Learning,AI,GM,7406,63483
"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",E077,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,45472,63311
"P.E.S.College of Engineering-PES College Road, Mandya",E089,MANDYA,AI-Artificial Intelligence & Machine Learning,AI,GM,110449,62794
"R V College of Engineering-Mysore Road, Bengaluru",E095,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,20917,62535
"Reva University-Yelahanka, Bengaluru",E164,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,52607,62190
"M.S. Ramaiah University of Applied Sciences-MSR Nagar, Bengaluru",E197,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,109381,63225
"B.N.M. Institute of Technology-Banashankari, Bengaluru",E015,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,91589,66416
"KLE Technological University Formerly known as BVBCET-Vidyanagar, Hubballi",Unknown,Unknown,AI-Artificial Intelligence & Machine Learning,AI,GM,105816,63570
"Bangalore Institute of Technology-V V Puram, Bengaluru",E019,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,54276,65984
"BMS Institute of Technology and Management-Yelahanka, Bengaluru",Unknown,Unknown,AI-Artificial Intelligence & Machine Learning,AI,GM,47837,66071
"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",E040,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,36048,65122
"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",E077,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,8406,63311
"P.E.S.College of Engineering-PES College Road, Mandya",E089,MANDYA,AI-Artificial Intelligence & Machine Learning,AI,GM,66533,62794
"R V College of Engineering-Mysore Road, Bengaluru",E095,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,2424,62535
"RNS Institute of Technology-R R Nagar Post, Bengaluru",E104,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,89917,62362
"SDM College of Engineering and Technology, Tulu Minority-Kalaghatagi, Dharwad",Unknown,Unknown,AI-Artificial Intelligence & Machine Learning,AI,GM,104133,62104
"Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru",E126,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,96996,61414
"The National Institute of Engineering South Campus-Mananthavady Road, Mysuru",Unknown,Unknown,AI-Artificial Intelligence & Machine Learning,AI,GM,37414,61069
"Vidyavardhaka College of Engineering-Gokulam, Mysuru",E147,MYSURU,AI-Artificial Intelligence & Machine Learning,AI,GM,86250,60810
"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",E077,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,46626,63311
"R V College of Engineering-Mysore Road, Bengaluru",E095,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,17533,62535
"KLE Technological University Formerly known as BVBCET-Vidyanagar, Hubballi",Unknown,Unknown,AI-Artificial Intelligence & Machine Learning,AI,GM,81153,63570
"Bangalore Institute of Technology-V V Puram, Bengaluru",E019,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,99493,65984
"BMS College of Engineering-Basavanagudi, Bengaluru",E027,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,21793,66157
"BMS Institute of Technology and Management-Yelahanka, Bengaluru",Unknown,Unknown,AI-Artificial Intelligence & Machine Learning,AI,GM,68406,66071
"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",Unknown,Unknown,AI-Artificial Intelligence & Machine Learning,AI,GM,91599,65208
"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",E040,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,55934,65122
JSS Science and Technology University-Mysuru,Unknown,Unknown,AI-Artificial Intelligence & Machine Learning,AI,GM,93758,64173
"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",E077,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,25278,63311
"R V College of Engineering-Mysore Road, Bengaluru",E095,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,7032,62535
"RNS Institute of Technology-R R Nagar Post, Bengaluru",E104,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,89591,62362
"Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru",E126,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,106568,61414
"The National Institute of Engineering South Campus-Mananthavady Road, Mysuru",Unknown,Unknown,AI-Artificial Intelligence & Machine Learning,AI,GM,65094,61069
"Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru",E126,BENGALURU,AI-Artificial Intelligence & Machine Learning,AI,GM,102189,61414
"CMR University-Bagalur-Chagalatti, Bengaluru",E187,BENGALURU,AL-Agriculture Engineering Course,AL,GM,79385,64407
"Bangalore Institute of Technology-V V Puram, Bengaluru",E019,BENGALURU,AL-Agriculture Engineering Course,AL,GM,68852,64838
"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",E077,BENGALURU,AL-Agriculture Engineering Course,AL,GM,9756,62165
"Alliance College of Engineering and Design. Alliance University-Anekal, Bengaluru",Unknown,Unknown,AL-Agriculture Engineering Course,AL,GM,75155,65442
"Bangalore Institute of Technology-V V Puram, Bengaluru",E019,BENGALURU,AL-Agriculture Engineering Course,AL,GM,42283,64838
"KLE Technological University Formerly known as BVBCET-Vidyanagar, Hubballi",Unknown,Unknown,"AR-
Automation & Robotics Engineering",AR,GM,106607,61277
"BMS College of Engineering-Basavanagudi, Bengaluru",E027,BENGALURU,"AR-
Automation & Robotics Engineering",AR,GM,6650,63865
"BMS Institute of Technology and Management-Yelahanka, Bengaluru",Unknown,Unknown,"AR-
Automation & Robotics Engineering",AR,GM,22972,63778
"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",E042,BENGALURU,"AR-
Automation & Robotics Engineering",AR,GM,76077,62744
JSS Science and Technology University-Mysuru,Unknown,Unknown,"AR-
Automation & Robotics Engineering",AR,GM,26967,61881
"Maharaja Institute of Technology-Belawadi, Mandya",E078,MANDYA,"AR-
Automation & Robotics Engineering",AR,GM,109740,60846
